,business_id,review_count,categories,categories_new,city,coordinates.latitude,coordinates.longitude,location.zip_code,stars,neighborhoods,price,oldest_review,std_of_stars,reviews_per_week,median_of_stars,reactions_per_week,stars_linear_coef,restaurant_density,restaurant_similar_density,zreview_count_all,zstar_all,zprice_all,zreview_per_week_all,is_claimed,is_chain,is_closed
0,PzOqRohWw7F7YEPBz6AubA,14,"['Food', 'Bagels', 'Delis', 'Restaurants']","[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",Glendale,33.7135958370734,-112.200125295182,85310,3.5,[],1.0,5306.0,1.2777531299998799,0.002638522427440633,4.0,0.0054655107425555976,-0.0018846938072845734,8.0,3.0,0.22479615214508036,0.0,-0.09375,1.4488263277226556,True,True,False
1,qarobAbxGSHI7ygf1f7a_Q,10,"['Sandwiches', 'Restaurants']","[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'delis', 'title': 'Delis'}]",Gilbert,33.3786951,-111.8126925,85233,3.5,[],1.0,4641.0,1.3333333333333333,0.0019392372333548805,4.0,0.002370178840767076,-0.002144951140065147,18.0,11.0,-0.8195471105112406,-0.005555555555555536,-0.1388888888888889,-0.0926526997294888,True,True,False
2,JxVGJ9Nly2FFIs_WpJvkug,55,"['Pizza', 'Restaurants']","[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",Scottsdale,33.61746,-111.92626,85254,4.0,[],2.0,15974.0,1.0122703976826997,0.0033804933016151244,4.0,0.005634155502691874,-0.0006994513078871124,36.0,9.0,-0.1678044840204387,0.0666666666666667,0.048611111111111105,-0.35138844143438563,True,True,False
3,Jj7bcQ6NDfKoz4TXwvYfMg,23,"['Burgers', 'Restaurants']","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",Phoenix,33.5669898986816,-112.116241455078,85021,4.0,[],2.0,14063.0,1.2033350002693952,0.0016354974045367275,4.0,0.004906492213610183,0.001198033833803386,27.0,11.0,-0.1794237787816218,0.051851851851851816,0.10576923076923078,-0.21464858977345389,True,True,False
4,4IAzFJ159GEaIGX1-y6Bmw,3,"['Burgers', 'Fast Food', 'Restaurants']","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]",Scottsdale,33.5818672180176,-111.881622314453,85258,2.5,[],1.0,9905.0,0.9428090415820634,0.00030287733467945484,3.0,0.007067137809187279,0.0001822593322473714,27.0,17.0,-0.6443008772880129,-0.17037037037037034,-0.11538461538461536,-0.6821704043034986,False,True,False
5,JHp5mJvYe6UtM_QsklR-iw,9,"['Pizza', 'Restaurants']","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",Scottsdale,33.4648933410645,-111.916801452637,85257,3.0,[],2.0,16114.0,0.9162456945817024,0.0005585205411443465,3.0,0.0010549832443837656,0.00027044594087402666,29.0,8.0,-0.5721798564347742,-0.1137931034482759,0.05555555555555558,-0.6579399820395136,True,True,False
6,507GX11jtCsVYlzaur05_w,27,"['Chinese', 'Restaurants']","[{'alias': 'chinese', 'title': 'Chinese'}]",Phoenix,33.3319449830459,-111.98161850528,85044,4.0,[],1.0,14266.0,1.301455716591433,0.0018225150707977008,4.0,0.0034347399411187437,-0.000434061297678315,24.0,1.0,-0.2046998835773534,0.07916666666666669,-0.14583333333333331,-0.2919280195836341,True,False,False
7,reMYkuDhLk4raAviOFtvOQ,38,"['Burgers', 'Restaurants']","[{'alias': 'burgers', 'title': 'Burgers'}]",Phoenix,33.6095285044587,-112.134235367427,85029,4.0,[],1.0,13517.0,1.0246274912595674,0.0028112746911296885,4.0,0.01146704150329215,-0.00035311822812535485,12.0,3.0,0.14030225603317506,0.10833333333333331,0.0,0.023595102932334848,True,True,False
8,jqZKv-7F54guDLalXEjHxg,69,"['Burgers', 'Restaurants']","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",Scottsdale,33.6266202304581,-111.925024540746,85260,3.5,[],1.0,9310.0,1.0284750724179803,0.007411385606874329,4.0,0.022663802363050482,8.064095873940771e-06,50.0,19.0,0.08442129767062063,-0.020000000000000018,-0.2142857142857143,0.46116930906798603,True,True,False
9,kIco4kv-FHT6QqdkDQ2cow,13,"['American (Traditional)', 'Fast Food', 'Restaurants']","[{'alias': 'hotdogs', 'title': 'Fast Food'}]",Scottsdale,33.4797181314595,-111.909434057491,85257,3.5,[],1.0,14154.0,1.002954216185023,0.0009184682775187226,4.0,0.003320616080259997,-0.0010328272989111734,18.0,4.0,-0.5633558918457878,-0.022222222222222233,-0.13235294117647056,-0.6372846458772683,True,True,False
